create_date,due_date,report_type,report_type_full,report_year,update_date
2024-01-01,2025-01-31,YE,YEAR-END,2024,2024-01-01
2024-09-12,2025-01-06,30GR,,2024,2024-09-12
2024-09-12,2025-01-02,30GR,,2024,2024-09-12
2024-01-01,2024-12-20,M12,DECEMBER MONTHLY,2024,2024-01-01
2024-09-12,2024-12-19,30GR,,2024,2024-09-12
2024-09-12,2024-12-19,30GR,,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30SG,,2024,2024-09-12
2024-09-12,2024-12-05,30SG,,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
2024-09-12,2024-12-05,30G,POST-GENERAL,2024,2024-09-12
